title,description,category
Urgent: Dust and cobwebs on classroom desks in Hall 105,Reporting issue: Benches are coated in thick dust and windows haven't been wiped in weeks. Please send someone to inspect.,Sanitation
Issue with dust and cobwebs on classroom desks in hall 105,Attention maintenance team: Benches are coated in thick dust and windows haven't been wiped in weeks.,Sanitation
Foul odor from chemical residue trash in lab corridor,Open disposal bags containing reagent bottles left in public hallway.,Sanitation
Urgent: Foul odor from chemical residue trash in lab corridor,Reporting issue: Open disposal bags containing reagent bottles left in public hallway. Please send someone to inspect.,Sanitation
Issue with foul odor from chemical residue trash in lab corridor,Attention maintenance team: Open disposal bags containing reagent bottles left in public hallway.,Sanitation
Pest and cockroach infestation in hostel pantry area,Cockroaches observed around microwaves and water dispenser counter.,Sanitation
Urgent: Pest and cockroach infestation in hostel pantry area,Reporting issue: Cockroaches observed around microwaves and water dispenser counter. Please send someone to inspect.,Sanitation
Issue with pest and cockroach infestation in hostel pantry area,Attention maintenance team: Cockroaches observed around microwaves and water dispenser counter.,Sanitation
Leaves and debris clogging rooftop drainage gutters,Rooftop drains choked with dead leaves leading to rainwater accumulation.,Sanitation
Urgent: Leaves and debris clogging rooftop drainage gutters,Reporting issue: Rooftop drains choked with dead leaves leading to rainwater accumulation. Please send someone to inspect.,Sanitation
Issue with leaves and debris clogging rooftop drainage gutters,Attention maintenance team: Rooftop drains choked with dead leaves leading to rainwater accumulation.,Sanitation
Animal waste found near entrance staircase of Block D,Dog droppings on the main entry stairs of academic block need removal.,Sanitation
Urgent: Animal waste found near entrance staircase of Block D,Reporting issue: Dog droppings on the main entry stairs of academic block need removal. Please send someone to inspect.,Sanitation
Issue with animal waste found near entrance staircase of block d,Attention maintenance team: Dog droppings on the main entry stairs of academic block need removal.,Sanitation
Food scraps left rotting in study room trash bin,Disposed lunch boxes emitting severe stench in 24-hour reading room.,Sanitation
Urgent: Food scraps left rotting in study room trash bin,Reporting issue: Disposed lunch boxes emitting severe stench in 24-hour reading room. Please send someone to inspect.,Sanitation
Issue with food scraps left rotting in study room trash bin,Attention maintenance team: Disposed lunch boxes emitting severe stench in 24-hour reading room.,Sanitation
Lost student identity card near cafeteria garden,Found or lost blue RFID smart ID card belonging to CSE Department student.,Other
Urgent: Lost student identity card near cafeteria garden,Reporting issue: Found or lost blue RFID smart ID card belonging to CSE Department student. Please send someone to inspect.,Other
Issue with lost student identity card near cafeteria garden,Attention maintenance team: Found or lost blue RFID smart ID card belonging to CSE Department student.,Other
Excessive noise from lawn mowers during final examinations,Landscaping maintenance scheduled directly outside Exam Hall 201 during test.,Other
Urgent: Excessive noise from lawn mowers during final examinations,Reporting issue: Landscaping maintenance scheduled directly outside Exam Hall 201 during test. Please send someone to inspect.,Other
Issue with excessive noise from lawn mowers during final examinations,Attention maintenance team: Landscaping maintenance scheduled directly outside Exam Hall 201 during test.,Other
Stray dogs wandering inside academic building foyer,Pack of aggressive dogs entered building through open emergency doors.,Other
Urgent: Stray dogs wandering inside academic building foyer,Reporting issue: Pack of aggressive dogs entered building through open emergency doors. Please send someone to inspect.,Other
Issue with stray dogs wandering inside academic building foyer,Attention maintenance team: Pack of aggressive dogs entered building through open emergency doors.,Other
Unauthorized vehicle parked blocking handicap accessibility ramp,White sedan parked directly in front of wheelchair ramp at library entry.,Other
Urgent: Unauthorized vehicle parked blocking handicap accessibility ramp,Reporting issue: White sedan parked directly in front of wheelchair ramp at library entry. Please send someone to inspect.,Other
Issue with unauthorized vehicle parked blocking handicap accessibility ramp,Attention maintenance team: White sedan parked directly in front of wheelchair ramp at library entry.,Other
Bicycle lock key snapped off in parking rack,"Key broke inside U-lock at Department bicycle stand, cycle cannot be unlocked.",Other
Urgent: Bicycle lock key snapped off in parking rack,"Reporting issue: Key broke inside U-lock at Department bicycle stand, cycle cannot be unlocked. Please send someone to inspect.",Other
Issue with bicycle lock key snapped off in parking rack,"Attention maintenance team: Key broke inside U-lock at Department bicycle stand, cycle cannot be unlocked.",Other
Campus shuttle bus schedule not adhered to,Morning shuttle at 8:15 AM did not arrive causing students to miss morning class.,Other
Urgent: Campus shuttle bus schedule not adhered to,Reporting issue: Morning shuttle at 8:15 AM did not arrive causing students to miss morning class. Please send someone to inspect.,Other
Issue with campus shuttle bus schedule not adhered to,Attention maintenance team: Morning shuttle at 8:15 AM did not arrive causing students to miss morning class.,Other
Tree branch fell and obstructing pathway near Gate 2,Large bough snapped during winds and is blocking student pedestrian walkway.,Other
Urgent: Tree branch fell and obstructing pathway near Gate 2,Reporting issue: Large bough snapped during winds and is blocking student pedestrian walkway. Please send someone to inspect.,Other
Issue with tree branch fell and obstructing pathway near gate 2,Attention maintenance team: Large bough snapped during winds and is blocking student pedestrian walkway.,Other
Notice board glass broken and posters defaced,Department official announcement board glass vandalized in lobby.,Other
Urgent: Notice board glass broken and posters defaced,Reporting issue: Department official announcement board glass vandalized in lobby. Please send someone to inspect.,Other
Issue with notice board glass broken and posters defaced,Attention maintenance team: Department official announcement board glass vandalized in lobby.,Other
Inquiry regarding lost umbrella left in Audi 2,Left black folding umbrella in Auditorium after guest lecture yesterday.,Other
Urgent: Inquiry regarding lost umbrella left in Audi 2,Reporting issue: Left black folding umbrella in Auditorium after guest lecture yesterday. Please send someone to inspect.,Other
Issue with inquiry regarding lost umbrella left in audi 2,Attention maintenance team: Left black folding umbrella in Auditorium after guest lecture yesterday.,Other
Construction materials left unattended in parking lot,Bags of cement and metal gravel blocking student scooter parking stalls.,Other
Urgent: Construction materials left unattended in parking lot,Reporting issue: Bags of cement and metal gravel blocking student scooter parking stalls. Please send someone to inspect.,Other
Issue with construction materials left unattended in parking lot,Attention maintenance team: Bags of cement and metal gravel blocking student scooter parking stalls.,Other
